volume,image_number,item,entry,first_letter,problem,reference_link
1,431,#item-fb558fcd2,Affection,A,"The point of reference for ""Gods affection"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0010/'>Affection</a>
1,432,#item-1b8a91cc7,Agreement,A,"The point of reference for ""Consent"" is unclear. Pastorius perhaps intends numerical entry 649 [Consent].",<a href='/digital-beehive/alpha1/alpha_0015/'>Agreement</a>
1,432,#item-d48f2cc1d,Alamode,A,"The point of reference for ""Clothes"" is unclear. Pastorius perhaps intends numerical entry 19 [Clothes].",<a href='/digital-beehive/alpha1/alpha_0017/'>Alamode</a>
1,434,#item-8e0b719bf,Approbation,A,"The point of reference for ""Confirm"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0044/'>Approbation</a>
1,436,#item-d449462c4,Beer,B,"The point of reference for ""Brewing"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0072/'>Beer</a>
1,437,#item-c61e17bec,Blackness,B,"It is unclear whether ""White"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0083/'>Blackness</a>
1,437,#item-f7569668d,Blockhead,B,"It is unclear whether ""It. nick-name"" should be considered a cross-reference.",<a href='/digital-beehive/alpha1/alpha_0087/'>Blockhead</a>
1,437,#item-f7569668d,Blockhead,B,"The point of reference for ""Stupidity"" is unclear. Pastorius perhaps intends numerical entry 711 [Stupidity].",<a href='/digital-beehive/alpha1/alpha_0087/'>Blockhead</a>
1,437,#item-f9f42e163,Blood,B,"It is unclear whether ""blood of Xst"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0088/'>Blood</a>
1,438,#item-98fd4aab7,Bride & Bridegroom,B,"The point of reference for ""Wedding"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0102/'>Bride & Bridegroom</a>
1,438,#item-f8fd97935,Brother,B,"It is unclear whether ""Brethren in Iniquity"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0105/'>Brother</a>
1,438,#item-0cf4c56c5,Buffoon,B,"The point of reference for ""jester"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0107/'>Buffoon</a>
1,439,#item-01e9433b9,Calling,C,"The point of reference for ""Ordination"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0116/'>Calling</a>
1,440,#item-9ad056c61,Celibate,C,"It is unclear whether ""To prevent generation"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0135/'>Celibate</a>
1,441,#item-bedd177d3,Chiliasm,C,"The point of reference for ""Restoration"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0144/'>Chiliasm</a>
1,443,#item-ece88d81a,Company,C,"The point of reference for ""Stock"" is unclear. Pastorius perhaps intends numerical entry 632 [Stock].",<a href='/digital-beehive/alpha1/alpha_0164/'>Company</a>
1,443,#item-ece88d81a,Company,C,"The point of reference for ""Train"" is unclear. Pastorius perhaps intends numerical entry 866 [Train].",<a href='/digital-beehive/alpha1/alpha_0164/'>Company</a>
1,444,#item-5f770ccf9,Contentment,C,"The point of reference for ""easy in living"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0177/'>Contentment</a>
1,445,#item-4506d1ee4,Covenant,C,"The cross-reference ""(: old & new :) Testament"" points to two separate entries. There is currently no protocol for linking a single cross-reference to two different places. ",<a href='/digital-beehive/alpha1/alpha_0182/'>Covenant</a>
1,447,#item-84f269f52,Danger,D,"The point of reference for ""Pinch"" is unclear. Pastorius perhaps intends numerical entry 645 [Pinch].",<a href='/digital-beehive/alpha1/alpha_0209/'>Danger</a>
1,447,#item-7e364ca49,Death,D,The entry continues onto the next page.,<a href='/digital-beehive/alpha1/alpha_0213/'>Death</a>
1,448,#item-7da8743c5,Defence,D,"It is unclear whether ""It. War. Revenge"" should be considered cross-references.",<a href='/digital-beehive/alpha1/alpha_0220/'>Defence</a>
1,450,#item-6500f1f9d,Dirt,D,"The point of reference for ""Tares"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0240/'>Dirt</a>
1,451,#item-a97ed4337,Divinity,D,The correct cross-reference under entry 1371 cannot be determined. ,<a href='/digital-beehive/alpha1/alpha_0250/'>Divinity</a>
1,451,#item-5f6348a67,Doubt,D,"The point of reference for ""Perplexity"" is unclear. Pastorius perhaps intends numerical entry 661 [Perplexity].",<a href='/digital-beehive/alpha1/alpha_0263/'>Doubt</a>
1,451,#item-5f6348a67,Doubt,D,"The point of reference for ""Pinch"" is unclear. Pastorius perhaps intends numerical entry 645 [Pinch].",<a href='/digital-beehive/alpha1/alpha_0263/'>Doubt</a>
1,451,#item-5f6348a67,Doubt,D,"The point of reference for ""Scepticism"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0263/'>Doubt</a>
1,452,#item-193279c50,Easter,E,"The point of reference for ""Passover Feast"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0276/'>Easter</a>
1,453,#item-3af6ee29e,Empire,E,"The point of reference for ""Kingdom"" is unclear. Pastorius perhaps intends numerical entry 906 [Kingdom].",<a href='/digital-beehive/alpha2/alpha_0284/'>Empire</a>
1,455,#item-85b695d6a,Fable,F,"The point of reference for ""talker of trifles"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0309/'>Fable</a>
1,456,#item-b17b8e943,Farewell,F,"The point of reference for ""Departure"" is unclear. Pastorius perhaps intends numerical entry 713 [Departure].",<a href='/digital-beehive/alpha2/alpha_0316/'>Farewell</a>
2,11,#item-89fc7f3f5,Favour,F,"The point of reference for ""Disfavour"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0322/'>Favour</a>
2,11,#item-c2d913b30,Fire,F,"The point of reference for ""Coal"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0328/'>Fire</a>
2,11,#item-c9615b60f,Flattery,F,"The point of reference for ""Plausible Popularity"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0332/'>Flattery</a>
2,14,#item-0bb65b876,Holy Ghost,G,"The point of reference for ""Inspiration"" is unclear. Pastorius perhaps intends numerical entry 893 [Inspiration].",<a href='/digital-beehive/alpha2/alpha_0362/'>Holy Ghost</a>
2,15,#item-92ec48ca2,Governmt,G,"The point of reference for ""Kingdom"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0379/'>Governmt</a>
2,15,#item-92ec48ca2,Governmt,G,"The point of reference for ""post titulos decem"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0379/'>Governmt</a>
2,16,#item-681cd26c1,Guardian,G,"The point of reference for ""Executor"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0390/'>Guardian</a>
2,17,#item-6372e5640,Harvest,H,"The point of reference for ""Ruin"" is unclear. Pastorius perhaps intends numerical entry 608 [Ruin].",<a href='/digital-beehive/alpha2/alpha_0401/'>Harvest</a>
2,18,#item-557c0909c,Heaviness,H,"The point of reference for ""Weight"" is unclear.",<a href='/digital-beehive/alpha2/alpha_0412/'>Heaviness</a>
2,23,#item-454cfd666,Inscription,I/J,"It is unclear whether ""Intitle"" should be considered a separate entry.",<a href='/digital-beehive/alpha3/alpha_0482/'>Inscription</a>
2,23,#item-454cfd666,Inscription,I/J,There is currently no protocol for cross-references to page numbers in the Alphabetical Hive.,<a href='/digital-beehive/alpha3/alpha_0482/'>Inscription</a>
2,25,#item-6329b41b8,Justification,I/J,"The point of reference for ""Righteousness"" is unclear. Pastorius perhaps intends numerical entry 319 [Righteous].",<a href='/digital-beehive/alpha3/alpha_0500/'>Justification</a>
2,26,#item-6fd364d6b,Law,L,The entry continues onto the next page.,<a href='/digital-beehive/alpha3/alpha_0523/'>Law</a>
2,27,#item-a7f5c69b7,Liberty of Conscience,L,The entry continues onto the next page.,<a href='/digital-beehive/alpha3/alpha_0537/'>Liberty of Conscience</a>
2,27,#item-e94eb3b2e,Leader,L,"The point of reference for ""Inspiration"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0527/'>Leader</a>
2,28,#item-17036b622,Lie,L,"The point of reference for ""Hyperbole"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0540/'>Lie</a>
2,29,#item-afb09bfa4,To Look,L,"The point of reference for ""Stare"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0552/'>To Look</a>
2,29,#item-e3affb3e0,Lord,L,"It is unclear whether ""a Miss, or Mistress"" should be considered a separate entry.",<a href='/digital-beehive/alpha3/alpha_0553/'>Lord</a>
2,31,#item-596cbe576,Mass,M,"The point of reference for ""Vespers"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0577/'>Mass</a>
2,32,#item-532b7736a,Meditation,M,"The point of reference for ""Contemplation"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0585/'>Meditation</a>
2,32,#item-6bfaf540f,Mercy,M,"The point of reference for ""clemency"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0590/'>Mercy</a>
2,32,#item-ecdd9765c,Metal,M,"The point of reference for ""viscera terrae"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0592/'>Metal</a>
2,33,#item-a97598884,Misfortunes,M,"The point of reference for ""Unhappiness"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0601/'>Misfortunes</a>
2,33,#item-81ba29bce,Mortality,M,The entry continues onto the next page.,<a href='/digital-beehive/alpha3/alpha_0611/'>Mortality</a>
2,34,#item-ef1664611,Mourning,M,"The point of reference for ""Lamentation"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0617/'>Mourning</a>
2,34,#item-843ee86fd,Musick,M,"The point of reference for ""Sound"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0623/'>Musick</a>
2,36,#item-e6dc7a754,Nobility,N,"The point of reference for ""ancestors"" is unclear.",<a href='/digital-beehive/alpha3/alpha_0646/'>Nobility</a>
2,37,#item-e72af992e,Oeconomy,O,There is currently no protocol for cross-references to page numbers in the Alphabetical Hive.,<a href='/digital-beehive/alpha4/alpha_0659/'>Oeconomy</a>
2,37,#item-211319dde,Oracle,O,"The point of reference for ""Divination"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0669/'>Oracle</a>
2,38,#item-c0243529d,Parsimony,P,"The point of reference for ""Expenses"" is unclear. Pastorius perhaps intends numerical entry 715 [Expenses].",<a href='/digital-beehive/alpha4/alpha_0686/'>Parsimony</a>
2,39,#item-f73a2700c,Peace,P,"The point of reference for ""Tranquility"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0696/'>Peace</a>
2,39,#item-2d8fab4cb,Pedantry,P,"The point of reference for ""downright Scholar"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0701/'>Pedantry</a>
2,39,#item-d2dd2128e,Perfection,P,The entry continues onto the next page.,<a href='/digital-beehive/alpha4/alpha_0702/'>Perfection</a>
2,40,#item-c9e6f0e5f,Persecution,P,"The point of reference for ""Compulsion"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0704/'>Persecution</a>
2,40,#item-4aea507cf,Picture,P,"The point of reference for ""painting"" is unclear. Pastorius perhaps intends numerical entry 575 [Painting].",<a href='/digital-beehive/alpha4/alpha_0710/'>Picture</a>
2,41,#item-654f9212d,Politick,P,"The point of reference for ""Temporizing"" is unclear. Pastorius perhaps intends numerical entry 643 [Temporising].",<a href='/digital-beehive/alpha4/alpha_0720/'>Politick</a>
2,42,#item-254f3c14e,Prison,P,"The point of reference for ""Workhouse"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0739/'>Prison</a>
2,43,#item-352e6ec4b,Prison,P,It is unclear whether this entry is a new entry or a continuation of the preceding entry. ,<a href='/digital-beehive/alpha4/alpha_0740/'>Prison</a>
2,43,#item-46d52871a,Proof,P,"The point of reference for ""Trial"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0751/'>Proof</a>
2,43,#item-46d52871a,Proof,P,"The point of reference for ""essay"" is unclear. Pastorius perhaps intends numerical entry 633 [essay].",<a href='/digital-beehive/alpha4/alpha_0751/'>Proof</a>
2,44,#item-e4d9f00a8,Proof,P,"The point of reference for ""argument"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0752/'>Proof</a>
2,44,#item-65603f9c3,Prudence,P,"It is unclear whether ""It. Wit"" should be considered a cross-reference.",<a href='/digital-beehive/alpha4/alpha_0760/'>Prudence</a>
2,44,#item-79ffc5944,Punishment,P,The entry continues onto the next page.,<a href='/digital-beehive/alpha4/alpha_0763/'>Punishment</a>
2,45,#item-1853bb2f8,Purity,P,"The point of reference for ""Cleanliness"" is unclear. Pastorius perhaps means numerical entry 598 [Cleanliness].",<a href='/digital-beehive/alpha4/alpha_0766/'>Purity</a>
2,45,#item-d074add5b,Rarity,R,"The point of reference for ""Obsolete"" is unclear. Pastorius perhaps intends numerical entry 355 [Old and Obsolete].",<a href='/digital-beehive/alpha4/alpha_0777/'>Rarity</a>
2,46,#item-6483207bc,Redemption,R,"The point of reference for ""deliverance"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0786/'>Redemption</a>
2,47,#item-d3ad071e9,Reliques,R,"The point of reference for ""Old rags"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0792/'>Reliques</a>
2,47,#item-e761d6029,Reputation,R,"The point of reference for ""Esteem"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0799/'>Reputation</a>
2,47,#item-36a15c3c8,Resistance,R,"The point of reference for ""fielding"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0801/'>Resistance</a>
2,47,#item-2ed58825b,Resurrection,R,The entry continues onto the next page.,<a href='/digital-beehive/alpha4/alpha_0803/'>Resurrection</a>
2,49,#item-8f2a11623,Robbery,R,"The point of reference for ""Steal"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0817/'>Robbery</a>
2,51,#item-8888fc3ff,Sedition,S,"It is unclear whether ""Sedition"" should be annotated as its own entry.",<a href='/digital-beehive/alpha4/alpha_0849/'>Sedition</a>
2,51,#item-8888fc3ff,Sedition,S,"The meaning of ""vid. Rebellion"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0849/'>Sedition</a>
2,52,#item-62e3b4e15,Servitude,S,"It is unclear whether ""It. Neger"" should be considered a cross-reference.",<a href='/digital-beehive/alpha4/alpha_0864/'>Servitude</a>
2,52,#item-f4b4428ef,Shape,S,"The point of reference for ""face"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0869/'>Shape</a>
2,52,#item-f4b4428ef,Shape,S,"The point of reference for ""form"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0869/'>Shape</a>
2,52,#item-0e7ccb2d3,Silence,S,The entry continues onto the next page.,<a href='/digital-beehive/alpha4/alpha_0877/'>Silence</a>
2,53,#item-0bc964271,Similitude,S,"The point of reference for ""comparison"" is unclear. Pastorius perhaps intends numerical entry 534 [Comparison].",<a href='/digital-beehive/alpha4/alpha_0879/'>Similitude</a>
2,56,#item-223af03d7,Stubborness,S,"The point of reference for ""waspish"" is unclear.",<a href='/digital-beehive/alpha4/alpha_0925/'>Stubborness</a>
2,57,#item-5ba038f11,Tailor,T,"The point of reference for ""Seamster"" is unclear.",<a href='/digital-beehive/alpha5/alpha_0941/'>Tailor</a>
2,57,#item-5ba038f11,Tailor,T,"The point of reference for ""to sell"" is unclear. Pastorius perhaps intends numerical entry 604 [to Sell].",<a href='/digital-beehive/alpha5/alpha_0941/'>Tailor</a>
2,57,#item-d5b751b3a,Temptation,T,"The point of reference for ""Instigation"" is unclear. Pastorius perhaps intends numerical entry 602 [Instigation].",<a href='/digital-beehive/alpha5/alpha_0947/'>Temptation</a>
2,57,#item-d5b751b3a,Temptation,T,The entry continues onto the next page.,<a href='/digital-beehive/alpha5/alpha_0947/'>Temptation</a>
2,58,#item-21d76679c,Time,T,The entry continues onto the next page.,<a href='/digital-beehive/alpha5/alpha_0961/'>Time</a>
2,60,#item-606ddb1f8,Tradition,T,"The point of reference for ""hearsay"" is unclear.",<a href='/digital-beehive/alpha5/alpha_0978/'>Tradition</a>
2,60,#item-d0f258fc8,Travelling,T,"The point of reference for ""Departure"" is unclear.",<a href='/digital-beehive/alpha5/alpha_0981/'>Travelling</a>
2,62,#item-fb3f37194,University,U,"The point of reference for ""Professors"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1009/'>University</a>
2,63,#item-9e391e5e8,Voracity,V,"The point of reference for ""glutton"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1018/'>Voracity</a>
2,63,#item-9098cec91,Martial disciplines,W,"The point of reference for ""Justitia militaris"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1026/'>Martial disciplines</a>
2,64,#item-74d7d6014,Whoredom,W,"The point of reference for ""Stews' is unclear.",<a href='/digital-beehive/alpha5/alpha_1036/'>Whoredom</a>
2,66,#item-ae92c0788,Wood,W,"The point of reference for ""Timber"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1056/'>Wood</a>
2,67,#item-daf426cdf,Wound,W,"The point of reference for ""Bites"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1067/'>Wound</a>
2,67,#item-c4abd3d9f,Youth,Y,"The point of reference for ""Boy"" is unclear.",<a href='/digital-beehive/alpha5/alpha_1075/'>Youth</a>
